Akira,	George Takei\Hank Azaria,	"One Fish Two Fish Blowfish Blue Fish",	1/24/1991
Ms. Albright,	Tress MacNeille,	"The Telltale Head",	2/25/1990
Aristotle Amadopolis,	Jon Lovitz\Dan Castellaneta,	"Homer Defined",	10/17/1991
Atkins-State Comptroller,	Harry Shearer\Hank Azaria,	"Lisa Gets an "A"",	11/22/1998
Mary Bailey,	Maggie Roswell,	"Two Cars in Every Garage and Three Eyes on Every Fish",	11/1/1990
Birchibald "Birch" T. Barlow,	Harry Shearer,	"Sideshow Bob Roberts",	10/9/1994
Bart Simpson,	Nancy Cartwright,	"Good Night (The Simpsons short)",	4/19/1987
Jasper Beardly,	Harry Shearer,	"Bart the General",	1/21/1990
Benjamin Doug and Gary,	Harry Shearer\Hank Azaria\Dan Castellaneta,	"Homer Goes to College",	10/14/1993
Bill and Marty,	Dan Castellaneta\Harry Shearer,	"Bart vs. Thanksgiving",	10/11/1990
Blinky,	Unvoiced,	"Two Cars in Every Garage and Three Eyes on Every Fish",	11/1/1990
Blue Haired Lawyer,	Dan Castellaneta,	"Bart Gets Hit by a Car",	1/10/1991
Boobarella,	Tress MacNeille,	"I'm Spelling as Fast as I Can",	2/16/2003
Wendell Borton,	Russi Taylor,	"Homer's Odyssey",	1/21/1990
Jacqueline Bouvier,	Julie Kavner,	"Bart vs. Thanksgiving",	2/11/1990
Patty Bouvier,	Julie Kavner,	"Simpsons Roasting on an Open Fire",	12/17/1989
Selma Bouvier,	Julie Kavner,	"Simpsons Roasting on an Open Fire",	12/17/1989
Kent Brockman,	Harry Shearer,	"Krusty Gets Busted",	4/29/1990
Bumblebee Man,	Hank Azaria,	"Itchy & Scratchy: The Movie",	11/3/1992
Charles Montgomery Burns,	Christopher Collins (early season 1)\Harry Shearer,	"Simpsons Roasting on an Open Fire",	12/17/1989
Capital City Goofball,	Tom Poston,	"Dancin' Homer",	11/8/1990
Carl Carlson,	Hank Azaria,	"Homer's Night Out",	3/25/1990
Gary Chalmers,	Hank Azaria,	"Whacking Day",	4/29/1993
Charlie,	Dan Castellaneta,	"Life on the Fast Lane",	3/18/1990
Chase (Pyro),	Hank Azaria,	"A Milhouse Divided",	12/1/1996
Scott Christian,	Dan Castellaneta,	"Krusty Gets Busted",	4/29/1990
Coach Lugash,	Dan Castellaneta,	"Children of a Lesser Clod",	5/13/2001
Comic Book Guy,	Hank Azaria,	"Three Men and a Comic Book",	5/9/1991
Mr. Costington,	Hank Azaria,	"Trash of the Titans",	4/26/1998
Crazy Cat Lady,	Tress MacNeille,	"Girly Edition",	4/19/1998
Database,	Nancy Cartwright,	"Bart's Comet",	2/5/1995
